question_id,question_text,option_a,option_b,option_c,option_d,correct_option,category
1,This is sample question 1 evaluating logic.,Agree,Strongly Disagree,Disagree,Neutral,D,Logic
2,This is sample question 2 evaluating interest.,Agree,Neutral,Strongly Agree,Strongly Disagree,A,Personality
3,This is sample question 3 evaluating logic.,Neutral,Strongly Agree,Agree,Disagree,C,Personality
4,This is sample question 4 evaluating interest.,Strongly Agree,Neutral,Agree,Disagree,B,Personality
5,This is sample question 5 evaluating personality.,Strongly Disagree,Neutral,Strongly Agree,Agree,B,Interest
6,This is sample question 6 evaluating interest.,Disagree,Strongly Disagree,Neutral,Strongly Agree,A,Personality
7,This is sample question 7 evaluating personality.,Disagree,Agree,Neutral,Strongly Agree,A,Logic
8,This is sample question 8 evaluating logic.,Disagree,Neutral,Strongly Disagree,Agree,D,Logic
9,This is sample question 9 evaluating logic.,Agree,Strongly Agree,Disagree,Neutral,B,Logic
10,This is sample question 10 evaluating personality.,Strongly Disagree,Disagree,Neutral,Strongly Agree,B,Aptitude
11,This is sample question 11 evaluating interest.,Strongly Disagree,Agree,Neutral,Strongly Agree,C,Logic
12,This is sample question 12 evaluating logic.,Agree,Neutral,Disagree,Strongly Agree,A,Aptitude
13,This is sample question 13 evaluating interest.,Agree,Disagree,Strongly Agree,Neutral,D,Personality
14,This is sample question 14 evaluating aptitude.,Strongly Disagree,Neutral,Disagree,Strongly Agree,B,Logic
15,This is sample question 15 evaluating interest.,Strongly Agree,Agree,Disagree,Neutral,C,Interest
16,This is sample question 16 evaluating personality.,Strongly Agree,Strongly Disagree,Agree,Neutral,D,Interest
17,This is sample question 17 evaluating interest.,Disagree,Strongly Disagree,Strongly Agree,Neutral,A,Interest
18,This is sample question 18 evaluating personality.,Disagree,Neutral,Agree,Strongly Agree,D,Interest
19,This is sample question 19 evaluating aptitude.,Agree,Neutral,Disagree,Strongly Agree,A,Personality
20,This is sample question 20 evaluating interest.,Agree,Strongly Disagree,Disagree,Neutral,B,Logic
21,This is sample question 21 evaluating personality.,Strongly Agree,Neutral,Agree,Disagree,B,Personality
22,This is sample question 22 evaluating personality.,Strongly Disagree,Neutral,Strongly Agree,Agree,D,Aptitude
23,This is sample question 23 evaluating logic.,Disagree,Neutral,Strongly Disagree,Agree,C,Logic
24,This is sample question 24 evaluating logic.,Neutral,Agree,Strongly Disagree,Disagree,B,Interest
25,This is sample question 25 evaluating logic.,Agree,Strongly Agree,Neutral,Strongly Disagree,B,Aptitude
26,This is sample question 26 evaluating logic.,Agree,Disagree,Strongly Disagree,Neutral,D,Logic
27,This is sample question 27 evaluating aptitude.,Agree,Strongly Agree,Disagree,Neutral,C,Logic
28,This is sample question 28 evaluating interest.,Disagree,Strongly Disagree,Strongly Agree,Agree,B,Logic
29,This is sample question 29 evaluating logic.,Neutral,Agree,Strongly Agree,Disagree,B,Interest
30,This is sample question 30 evaluating logic.,Strongly Disagree,Agree,Strongly Agree,Disagree,B,Aptitude
31,This is sample question 31 evaluating interest.,Strongly Agree,Neutral,Strongly Disagree,Agree,C,Logic
32,This is sample question 32 evaluating personality.,Strongly Agree,Neutral,Disagree,Strongly Disagree,B,Personality
33,This is sample question 33 evaluating interest.,Strongly Disagree,Neutral,Strongly Agree,Disagree,D,Personality
34,This is sample question 34 evaluating interest.,Neutral,Strongly Disagree,Disagree,Strongly Agree,A,Logic
35,This is sample question 35 evaluating logic.,Disagree,Strongly Disagree,Neutral,Agree,A,Logic
36,This is sample question 36 evaluating logic.,Strongly Agree,Strongly Disagree,Agree,Neutral,B,Aptitude
37,This is sample question 37 evaluating logic.,Strongly Disagree,Neutral,Agree,Strongly Agree,A,Aptitude
38,This is sample question 38 evaluating logic.,Neutral,Strongly Agree,Agree,Disagree,D,Personality
39,This is sample question 39 evaluating personality.,Agree,Strongly Agree,Neutral,Disagree,D,Logic
40,This is sample question 40 evaluating interest.,Neutral,Strongly Disagree,Strongly Agree,Agree,C,Logic
41,This is sample question 41 evaluating personality.,Neutral,Agree,Strongly Disagree,Strongly Agree,D,Aptitude
42,This is sample question 42 evaluating logic.,Strongly Agree,Neutral,Agree,Disagree,B,Personality
43,This is sample question 43 evaluating interest.,Strongly Disagree,Neutral,Strongly Agree,Disagree,A,Personality
44,This is sample question 44 evaluating personality.,Strongly Disagree,Disagree,Agree,Strongly Agree,A,Personality
45,This is sample question 45 evaluating personality.,Agree,Strongly Disagree,Neutral,Disagree,D,Logic
46,This is sample question 46 evaluating logic.,Strongly Disagree,Agree,Disagree,Strongly Agree,B,Interest
47,This is sample question 47 evaluating interest.,Disagree,Strongly Disagree,Strongly Agree,Agree,A,Aptitude
48,This is sample question 48 evaluating interest.,Strongly Agree,Disagree,Strongly Disagree,Neutral,C,Logic
49,This is sample question 49 evaluating aptitude.,Strongly Agree,Agree,Strongly Disagree,Neutral,B,Interest
50,This is sample question 50 evaluating aptitude.,Disagree,Strongly Disagree,Strongly Agree,Agree,C,Personality
51,This is sample question 51 evaluating aptitude.,Disagree,Strongly Agree,Strongly Disagree,Neutral,C,Interest
52,This is sample question 52 evaluating logic.,Disagree,Strongly Disagree,Agree,Strongly Agree,D,Interest
53,This is sample question 53 evaluating interest.,Neutral,Disagree,Strongly Agree,Strongly Disagree,B,Personality
54,This is sample question 54 evaluating interest.,Strongly Agree,Agree,Disagree,Neutral,C,Personality
55,This is sample question 55 evaluating logic.,Disagree,Strongly Disagree,Neutral,Strongly Agree,B,Aptitude
56,This is sample question 56 evaluating interest.,Strongly Agree,Agree,Strongly Disagree,Neutral,C,Logic
57,This is sample question 57 evaluating personality.,Disagree,Neutral,Strongly Agree,Strongly Disagree,B,Aptitude
58,This is sample question 58 evaluating aptitude.,Agree,Disagree,Strongly Disagree,Neutral,A,Logic
59,This is sample question 59 evaluating logic.,Agree,Strongly Agree,Strongly Disagree,Neutral,B,Interest
60,This is sample question 60 evaluating aptitude.,Neutral,Strongly Disagree,Agree,Disagree,B,Logic
61,This is sample question 61 evaluating interest.,Strongly Disagree,Agree,Neutral,Strongly Agree,D,Interest
62,This is sample question 62 evaluating interest.,Neutral,Strongly Agree,Disagree,Agree,D,Aptitude
63,This is sample question 63 evaluating interest.,Strongly Disagree,Agree,Neutral,Strongly Agree,C,Interest
64,This is sample question 64 evaluating personality.,Agree,Neutral,Disagree,Strongly Disagree,D,Logic
65,This is sample question 65 evaluating logic.,Strongly Agree,Disagree,Neutral,Agree,B,Interest
66,This is sample question 66 evaluating personality.,Agree,Disagree,Neutral,Strongly Disagree,D,Aptitude
67,This is sample question 67 evaluating interest.,Agree,Neutral,Strongly Disagree,Disagree,C,Personality
68,This is sample question 68 evaluating personality.,Neutral,Agree,Strongly Agree,Disagree,A,Personality
69,This is sample question 69 evaluating interest.,Agree,Neutral,Strongly Agree,Strongly Disagree,B,Aptitude
70,This is sample question 70 evaluating logic.,Agree,Neutral,Disagree,Strongly Disagree,A,Logic
71,This is sample question 71 evaluating aptitude.,Strongly Agree,Agree,Neutral,Disagree,D,Personality
72,This is sample question 72 evaluating logic.,Strongly Agree,Neutral,Agree,Strongly Disagree,D,Logic
73,This is sample question 73 evaluating personality.,Strongly Disagree,Neutral,Agree,Disagree,A,Interest
74,This is sample question 74 evaluating personality.,Neutral,Disagree,Strongly Disagree,Agree,B,Aptitude
75,This is sample question 75 evaluating interest.,Disagree,Neutral,Strongly Agree,Agree,A,Personality
76,This is sample question 76 evaluating logic.,Disagree,Strongly Agree,Neutral,Agree,A,Aptitude
77,This is sample question 77 evaluating interest.,Neutral,Strongly Disagree,Disagree,Strongly Agree,C,Logic
78,This is sample question 78 evaluating interest.,Agree,Disagree,Strongly Agree,Strongly Disagree,B,Interest
79,This is sample question 79 evaluating interest.,Neutral,Disagree,Strongly Disagree,Agree,A,Interest
80,This is sample question 80 evaluating interest.,Neutral,Strongly Agree,Disagree,Agree,A,Logic
81,This is sample question 81 evaluating aptitude.,Agree,Strongly Disagree,Disagree,Neutral,B,Interest
82,This is sample question 82 evaluating aptitude.,Neutral,Agree,Strongly Agree,Strongly Disagree,A,Interest
83,This is sample question 83 evaluating logic.,Agree,Strongly Agree,Disagree,Neutral,C,Interest
84,This is sample question 84 evaluating logic.,Strongly Agree,Strongly Disagree,Neutral,Disagree,C,Personality
85,This is sample question 85 evaluating interest.,Neutral,Disagree,Agree,Strongly Disagree,A,Aptitude
86,This is sample question 86 evaluating interest.,Agree,Disagree,Neutral,Strongly Disagree,D,Aptitude
87,This is sample question 87 evaluating logic.,Agree,Strongly Agree,Strongly Disagree,Neutral,A,Aptitude
88,This is sample question 88 evaluating personality.,Disagree,Strongly Disagree,Strongly Agree,Neutral,D,Interest
89,This is sample question 89 evaluating personality.,Neutral,Strongly Agree,Agree,Disagree,A,Personality
90,This is sample question 90 evaluating aptitude.,Strongly Disagree,Strongly Agree,Agree,Neutral,B,Aptitude
91,This is sample question 91 evaluating aptitude.,Strongly Disagree,Strongly Agree,Neutral,Agree,A,Logic
92,This is sample question 92 evaluating aptitude.,Disagree,Agree,Neutral,Strongly Disagree,B,Interest
93,This is sample question 93 evaluating interest.,Strongly Disagree,Neutral,Agree,Strongly Agree,D,Interest
94,This is sample question 94 evaluating logic.,Disagree,Strongly Disagree,Strongly Agree,Agree,B,Interest
95,This is sample question 95 evaluating personality.,Strongly Agree,Agree,Neutral,Strongly Disagree,C,Logic
96,This is sample question 96 evaluating personality.,Strongly Disagree,Neutral,Agree,Disagree,D,Logic
97,This is sample question 97 evaluating interest.,Agree,Neutral,Strongly Disagree,Disagree,D,Aptitude
98,This is sample question 98 evaluating logic.,Disagree,Strongly Disagree,Strongly Agree,Agree,C,Logic
99,This is sample question 99 evaluating aptitude.,Strongly Disagree,Agree,Disagree,Neutral,D,Personality
100,This is sample question 100 evaluating aptitude.,Strongly Disagree,Strongly Agree,Agree,Neutral,C,Personality
101,This is sample question 101 evaluating interest.,Strongly Agree,Agree,Neutral,Disagree,A,Personality
102,This is sample question 102 evaluating interest.,Neutral,Strongly Disagree,Disagree,Strongly Agree,C,Aptitude
103,This is sample question 103 evaluating personality.,Neutral,Disagree,Strongly Agree,Strongly Disagree,B,Personality
104,This is sample question 104 evaluating interest.,Disagree,Agree,Neutral,Strongly Agree,A,Personality
105,This is sample question 105 evaluating logic.,Neutral,Disagree,Agree,Strongly Disagree,D,Interest
106,This is sample question 106 evaluating aptitude.,Agree,Neutral,Strongly Agree,Disagree,B,Logic
107,This is sample question 107 evaluating logic.,Neutral,Agree,Disagree,Strongly Agree,C,Aptitude
108,This is sample question 108 evaluating interest.,Neutral,Disagree,Agree,Strongly Agree,D,Logic
109,This is sample question 109 evaluating personality.,Agree,Strongly Disagree,Disagree,Neutral,C,Logic
110,This is sample question 110 evaluating interest.,Strongly Disagree,Disagree,Strongly Agree,Agree,B,Personality
111,This is sample question 111 evaluating personality.,Agree,Strongly Disagree,Disagree,Strongly Agree,D,Interest
112,This is sample question 112 evaluating interest.,Disagree,Neutral,Agree,Strongly Disagree,D,Aptitude
113,This is sample question 113 evaluating interest.,Strongly Disagree,Agree,Neutral,Strongly Agree,B,Aptitude
114,This is sample question 114 evaluating interest.,Strongly Agree,Neutral,Strongly Disagree,Agree,C,Personality
115,This is sample question 115 evaluating interest.,Strongly Disagree,Agree,Strongly Agree,Neutral,A,Logic
116,This is sample question 116 evaluating logic.,Agree,Strongly Agree,Strongly Disagree,Disagree,D,Personality
117,This is sample question 117 evaluating aptitude.,Strongly Disagree,Agree,Strongly Agree,Disagree,D,Interest
118,This is sample question 118 evaluating aptitude.,Agree,Strongly Agree,Strongly Disagree,Disagree,A,Personality
119,This is sample question 119 evaluating personality.,Agree,Strongly Disagree,Strongly Agree,Neutral,B,Personality
120,This is sample question 120 evaluating logic.,Strongly Disagree,Neutral,Disagree,Agree,B,Personality
121,This is sample question 121 evaluating logic.,Disagree,Strongly Agree,Agree,Strongly Disagree,A,Logic
122,This is sample question 122 evaluating aptitude.,Neutral,Strongly Disagree,Agree,Strongly Agree,A,Logic
123,This is sample question 123 evaluating interest.,Strongly Disagree,Disagree,Agree,Strongly Agree,D,Aptitude
124,This is sample question 124 evaluating interest.,Strongly Disagree,Strongly Agree,Disagree,Agree,D,Logic
125,This is sample question 125 evaluating interest.,Disagree,Strongly Disagree,Neutral,Agree,C,Interest
126,This is sample question 126 evaluating aptitude.,Strongly Agree,Strongly Disagree,Agree,Neutral,A,Aptitude
127,This is sample question 127 evaluating personality.,Disagree,Agree,Neutral,Strongly Disagree,C,Aptitude
128,This is sample question 128 evaluating interest.,Neutral,Strongly Agree,Disagree,Strongly Disagree,B,Personality
129,This is sample question 129 evaluating interest.,Disagree,Agree,Neutral,Strongly Disagree,A,Interest
130,This is sample question 130 evaluating interest.,Neutral,Strongly Disagree,Disagree,Agree,B,Logic
131,This is sample question 131 evaluating aptitude.,Strongly Agree,Agree,Disagree,Neutral,B,Logic
132,This is sample question 132 evaluating aptitude.,Disagree,Strongly Agree,Neutral,Strongly Disagree,A,Aptitude
133,This is sample question 133 evaluating interest.,Disagree,Agree,Neutral,Strongly Disagree,A,Aptitude
134,This is sample question 134 evaluating personality.,Agree,Neutral,Disagree,Strongly Agree,C,Interest
135,This is sample question 135 evaluating personality.,Strongly Agree,Agree,Neutral,Disagree,B,Interest
136,This is sample question 136 evaluating personality.,Agree,Strongly Agree,Disagree,Strongly Disagree,B,Personality
137,This is sample question 137 evaluating logic.,Disagree,Agree,Neutral,Strongly Disagree,C,Logic
138,This is sample question 138 evaluating aptitude.,Agree,Strongly Agree,Neutral,Disagree,A,Aptitude
139,This is sample question 139 evaluating logic.,Strongly Disagree,Neutral,Agree,Strongly Agree,D,Aptitude
140,This is sample question 140 evaluating interest.,Agree,Neutral,Strongly Agree,Disagree,A,Interest
141,This is sample question 141 evaluating personality.,Disagree,Agree,Neutral,Strongly Agree,D,Logic
142,This is sample question 142 evaluating interest.,Neutral,Strongly Agree,Agree,Disagree,C,Aptitude
143,This is sample question 143 evaluating interest.,Strongly Agree,Neutral,Disagree,Agree,C,Aptitude
144,This is sample question 144 evaluating interest.,Strongly Disagree,Disagree,Agree,Neutral,A,Interest
145,This is sample question 145 evaluating aptitude.,Strongly Disagree,Neutral,Disagree,Strongly Agree,C,Logic
146,This is sample question 146 evaluating interest.,Neutral,Agree,Disagree,Strongly Agree,A,Aptitude
147,This is sample question 147 evaluating logic.,Strongly Disagree,Neutral,Strongly Agree,Agree,C,Interest
148,This is sample question 148 evaluating interest.,Agree,Strongly Disagree,Neutral,Disagree,D,Aptitude
149,This is sample question 149 evaluating personality.,Neutral,Agree,Disagree,Strongly Agree,A,Logic
150,This is sample question 150 evaluating interest.,Strongly Agree,Agree,Neutral,Disagree,D,Interest
151,This is sample question 151 evaluating logic.,Agree,Strongly Disagree,Neutral,Disagree,C,Logic
152,This is sample question 152 evaluating logic.,Strongly Agree,Strongly Disagree,Neutral,Disagree,C,Interest
153,This is sample question 153 evaluating aptitude.,Disagree,Strongly Disagree,Strongly Agree,Agree,A,Aptitude
154,This is sample question 154 evaluating logic.,Agree,Neutral,Disagree,Strongly Agree,A,Aptitude
155,This is sample question 155 evaluating aptitude.,Disagree,Neutral,Agree,Strongly Agree,B,Interest
156,This is sample question 156 evaluating personality.,Disagree,Neutral,Strongly Disagree,Strongly Agree,D,Interest
157,This is sample question 157 evaluating aptitude.,Strongly Disagree,Disagree,Strongly Agree,Agree,A,Aptitude
158,This is sample question 158 evaluating interest.,Agree,Strongly Disagree,Disagree,Neutral,C,Personality
159,This is sample question 159 evaluating aptitude.,Disagree,Agree,Neutral,Strongly Agree,C,Personality
160,This is sample question 160 evaluating logic.,Strongly Disagree,Strongly Agree,Disagree,Agree,C,Aptitude
161,This is sample question 161 evaluating interest.,Strongly Agree,Strongly Disagree,Disagree,Agree,D,Personality
162,This is sample question 162 evaluating personality.,Strongly Agree,Strongly Disagree,Agree,Neutral,A,Personality
163,This is sample question 163 evaluating interest.,Neutral,Disagree,Strongly Agree,Strongly Disagree,C,Interest
164,This is sample question 164 evaluating personality.,Agree,Neutral,Strongly Disagree,Strongly Agree,B,Logic
165,This is sample question 165 evaluating personality.,Strongly Disagree,Disagree,Neutral,Strongly Agree,B,Logic
166,This is sample question 166 evaluating personality.,Disagree,Strongly Agree,Strongly Disagree,Neutral,C,Aptitude
167,This is sample question 167 evaluating logic.,Strongly Agree,Neutral,Strongly Disagree,Disagree,B,Interest
168,This is sample question 168 evaluating personality.,Disagree,Agree,Neutral,Strongly Agree,A,Logic
169,This is sample question 169 evaluating logic.,Strongly Disagree,Disagree,Agree,Strongly Agree,C,Interest
170,This is sample question 170 evaluating interest.,Strongly Agree,Neutral,Strongly Disagree,Disagree,B,Interest
171,This is sample question 171 evaluating personality.,Neutral,Strongly Disagree,Disagree,Strongly Agree,B,Logic
172,This is sample question 172 evaluating aptitude.,Strongly Agree,Neutral,Agree,Strongly Disagree,A,Logic
173,This is sample question 173 evaluating interest.,Disagree,Strongly Disagree,Agree,Strongly Agree,C,Interest
174,This is sample question 174 evaluating logic.,Neutral,Agree,Disagree,Strongly Agree,C,Interest
175,This is sample question 175 evaluating interest.,Strongly Disagree,Strongly Agree,Disagree,Neutral,A,Personality
176,This is sample question 176 evaluating personality.,Agree,Neutral,Disagree,Strongly Agree,C,Logic
177,This is sample question 177 evaluating aptitude.,Disagree,Agree,Neutral,Strongly Disagree,C,Interest
178,This is sample question 178 evaluating logic.,Disagree,Agree,Strongly Agree,Strongly Disagree,D,Interest
179,This is sample question 179 evaluating logic.,Disagree,Neutral,Strongly Disagree,Agree,D,Logic
180,This is sample question 180 evaluating aptitude.,Strongly Agree,Disagree,Agree,Neutral,D,Interest
181,This is sample question 181 evaluating interest.,Agree,Strongly Disagree,Disagree,Neutral,A,Logic
182,This is sample question 182 evaluating aptitude.,Strongly Disagree,Neutral,Disagree,Agree,B,Personality
183,This is sample question 183 evaluating aptitude.,Strongly Disagree,Agree,Strongly Agree,Neutral,D,Aptitude
184,This is sample question 184 evaluating interest.,Strongly Disagree,Strongly Agree,Neutral,Disagree,B,Interest
185,This is sample question 185 evaluating interest.,Strongly Agree,Strongly Disagree,Agree,Neutral,C,Logic
186,This is sample question 186 evaluating interest.,Disagree,Neutral,Strongly Agree,Agree,C,Logic
187,This is sample question 187 evaluating logic.,Strongly Disagree,Disagree,Strongly Agree,Neutral,A,Logic
188,This is sample question 188 evaluating aptitude.,Disagree,Neutral,Strongly Agree,Agree,D,Personality
189,This is sample question 189 evaluating interest.,Agree,Disagree,Strongly Disagree,Neutral,A,Interest
190,This is sample question 190 evaluating personality.,Strongly Agree,Disagree,Neutral,Strongly Disagree,A,Logic
191,This is sample question 191 evaluating aptitude.,Disagree,Agree,Neutral,Strongly Agree,D,Interest
192,This is sample question 192 evaluating logic.,Neutral,Agree,Disagree,Strongly Agree,C,Interest
193,This is sample question 193 evaluating interest.,Strongly Agree,Disagree,Agree,Strongly Disagree,C,Logic
194,This is sample question 194 evaluating personality.,Neutral,Strongly Disagree,Strongly Agree,Agree,B,Interest
195,This is sample question 195 evaluating personality.,Neutral,Strongly Disagree,Strongly Agree,Disagree,B,Interest
196,This is sample question 196 evaluating interest.,Disagree,Strongly Disagree,Strongly Agree,Agree,C,Interest
197,This is sample question 197 evaluating personality.,Strongly Disagree,Neutral,Strongly Agree,Agree,C,Interest
198,This is sample question 198 evaluating aptitude.,Neutral,Strongly Disagree,Disagree,Agree,B,Aptitude
199,This is sample question 199 evaluating personality.,Disagree,Strongly Agree,Agree,Neutral,C,Aptitude
200,This is sample question 200 evaluating aptitude.,Strongly Agree,Disagree,Strongly Disagree,Agree,D,Aptitude
201,This is sample question 201 evaluating logic.,Disagree,Neutral,Strongly Disagree,Strongly Agree,C,Logic
202,This is sample question 202 evaluating personality.,Strongly Agree,Strongly Disagree,Disagree,Neutral,C,Logic
203,This is sample question 203 evaluating personality.,Strongly Disagree,Disagree,Strongly Agree,Neutral,B,Aptitude
204,This is sample question 204 evaluating logic.,Disagree,Strongly Disagree,Strongly Agree,Agree,B,Interest
205,This is sample question 205 evaluating personality.,Strongly Disagree,Neutral,Agree,Strongly Agree,C,Logic
206,This is sample question 206 evaluating personality.,Strongly Agree,Disagree,Neutral,Agree,D,Interest
207,This is sample question 207 evaluating personality.,Strongly Disagree,Strongly Agree,Agree,Neutral,A,Aptitude
208,This is sample question 208 evaluating personality.,Strongly Agree,Strongly Disagree,Disagree,Neutral,C,Interest
209,This is sample question 209 evaluating aptitude.,Disagree,Agree,Strongly Disagree,Strongly Agree,D,Personality
210,This is sample question 210 evaluating logic.,Strongly Agree,Neutral,Strongly Disagree,Disagree,C,Personality
211,This is sample question 211 evaluating logic.,Strongly Disagree,Disagree,Strongly Agree,Neutral,D,Logic
212,This is sample question 212 evaluating interest.,Strongly Disagree,Neutral,Strongly Agree,Disagree,B,Interest
213,This is sample question 213 evaluating personality.,Strongly Disagree,Disagree,Neutral,Strongly Agree,B,Interest
214,This is sample question 214 evaluating logic.,Neutral,Strongly Agree,Disagree,Strongly Disagree,D,Interest
215,This is sample question 215 evaluating interest.,Strongly Disagree,Agree,Neutral,Disagree,D,Aptitude
216,This is sample question 216 evaluating personality.,Disagree,Strongly Agree,Neutral,Agree,D,Aptitude
217,This is sample question 217 evaluating aptitude.,Strongly Disagree,Neutral,Strongly Agree,Agree,B,Aptitude
218,This is sample question 218 evaluating aptitude.,Strongly Disagree,Strongly Agree,Agree,Disagree,A,Interest
219,This is sample question 219 evaluating logic.,Disagree,Strongly Disagree,Agree,Strongly Agree,A,Interest
220,This is sample question 220 evaluating aptitude.,Strongly Agree,Strongly Disagree,Neutral,Disagree,B,Interest
221,This is sample question 221 evaluating logic.,Agree,Disagree,Strongly Agree,Neutral,C,Aptitude
222,This is sample question 222 evaluating personality.,Disagree,Neutral,Strongly Disagree,Agree,D,Aptitude
223,This is sample question 223 evaluating aptitude.,Strongly Agree,Strongly Disagree,Agree,Neutral,C,Aptitude
224,This is sample question 224 evaluating logic.,Disagree,Strongly Disagree,Agree,Neutral,B,Interest
225,This is sample question 225 evaluating aptitude.,Strongly Agree,Neutral,Agree,Disagree,C,Personality
226,This is sample question 226 evaluating interest.,Agree,Strongly Agree,Neutral,Disagree,C,Personality
227,This is sample question 227 evaluating logic.,Neutral,Strongly Disagree,Disagree,Agree,A,Interest
228,This is sample question 228 evaluating personality.,Strongly Disagree,Strongly Agree,Disagree,Neutral,D,Logic
229,This is sample question 229 evaluating personality.,Disagree,Neutral,Agree,Strongly Agree,D,Aptitude
230,This is sample question 230 evaluating logic.,Neutral,Strongly Agree,Strongly Disagree,Disagree,C,Logic
231,This is sample question 231 evaluating interest.,Strongly Agree,Agree,Neutral,Disagree,C,Aptitude
232,This is sample question 232 evaluating personality.,Neutral,Agree,Disagree,Strongly Disagree,D,Personality
233,This is sample question 233 evaluating aptitude.,Strongly Disagree,Strongly Agree,Disagree,Neutral,D,Personality
234,This is sample question 234 evaluating interest.,Disagree,Strongly Agree,Neutral,Strongly Disagree,C,Personality
235,This is sample question 235 evaluating aptitude.,Agree,Strongly Agree,Strongly Disagree,Disagree,C,Personality
236,This is sample question 236 evaluating interest.,Strongly Disagree,Strongly Agree,Disagree,Agree,A,Aptitude
237,This is sample question 237 evaluating personality.,Neutral,Strongly Disagree,Strongly Agree,Agree,C,Personality
238,This is sample question 238 evaluating personality.,Strongly Disagree,Agree,Disagree,Neutral,B,Personality
239,This is sample question 239 evaluating logic.,Strongly Disagree,Disagree,Strongly Agree,Neutral,D,Personality
240,This is sample question 240 evaluating personality.,Disagree,Strongly Disagree,Agree,Strongly Agree,A,Logic
241,This is sample question 241 evaluating interest.,Strongly Agree,Disagree,Agree,Neutral,A,Aptitude
242,This is sample question 242 evaluating logic.,Agree,Disagree,Neutral,Strongly Disagree,B,Interest
243,This is sample question 243 evaluating interest.,Strongly Agree,Strongly Disagree,Disagree,Agree,D,Logic
244,This is sample question 244 evaluating aptitude.,Strongly Agree,Strongly Disagree,Neutral,Agree,A,Personality
245,This is sample question 245 evaluating personality.,Neutral,Strongly Disagree,Strongly Agree,Disagree,B,Personality
246,This is sample question 246 evaluating interest.,Disagree,Agree,Strongly Disagree,Strongly Agree,D,Aptitude
247,This is sample question 247 evaluating logic.,Agree,Strongly Agree,Strongly Disagree,Disagree,A,Interest
248,This is sample question 248 evaluating personality.,Strongly Agree,Neutral,Strongly Disagree,Disagree,D,Personality
249,This is sample question 249 evaluating logic.,Neutral,Strongly Disagree,Agree,Strongly Agree,A,Aptitude
250,This is sample question 250 evaluating interest.,Strongly Agree,Neutral,Strongly Disagree,Disagree,C,Interest
251,This is sample question 251 evaluating aptitude.,Strongly Agree,Strongly Disagree,Agree,Neutral,D,Logic
